# OSU MPI-CUDA Bandwidth Test v7.5.2
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.32
2                       0.67
4                       1.34
8                       2.69
16                      5.32
32                     10.53
64                     19.23
128                    35.28
256                    70.61
512                   123.67
1024                  223.59
2048                  453.39
4096                  871.61
8192                 1564.28
16384                2178.05
32768                2963.76
65536                3151.65
131072               3405.28
262144               3575.61
524288               4992.37
1048576              5695.52
2097152              5818.73
4194304              6165.74
