profile	1.1.0	1.1.0-d53085b-sm_90	cpu_arch=x86_64,gpu_arch=sm_90,cuda_version=12.8.93	# Last updated Sat Mar 14 22:34:26 2026

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
    0.290648	     17.9824	     17.9824	           2	    0.145324	bytes=3057647616	cudaMemcpyDeviceToHost	copy,clover_field.cpp,311	# 0.00 Gflop/s, 21.04 GB/s, tuning took 1.017879 seconds at Sat Mar 14 22:31:49 2026
     0.20378	     12.6079	     30.5903	         200	   0.0010189	     48x48x48x48	N4quda13TwistedCloverINS_15WilsonCloverArgIsLi3ELi4ENS_4DDNoEL21QudaReconstructType_s12ELb1ELb0EEEEE	policy_kernel=interior,GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=2,Ns=4,Nc=3,order=0,N=8,TwistFlavor=1,carve_out,step=25,commDim=0000,xpay,dagger,n_rhs=1,n_rhs_tile=1,comm=0000	# 10003.09 Gflop/s, 3959.56 GB/s, tuning took 7.127708 seconds at Sat Mar 14 22:32:44 2026
    0.203672	     12.6012	     43.1915	         200	  0.00101836	     48x48x48x48	N4quda13TwistedCloverINS_15WilsonCloverArgIsLi3ELi4ENS_4DDNoEL21QudaReconstructType_s12ELb1ELb0EEEEE	policy_kernel=interior,GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=2,Ns=4,Nc=3,order=0,N=8,TwistFlavor=1,carve_out,step=25,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,comm=0000	# 10008.43 Gflop/s, 3961.67 GB/s, tuning took 7.150956 seconds at Sat Mar 14 22:32:36 2026
    0.202539	     12.5311	     55.7226	           4	   0.0506347	bytes=1019215872	cudaMemcpyDefault	copy,color_spinor_field.cpp,482	# 0.00 Gflop/s, 20.13 GB/s, tuning took 0.360388 seconds at Sat Mar 14 22:32:16 2026
    0.166325	     10.2905	     66.0131	         194	 0.000857344	     48x48x48x48	N4quda4blas9axpyZpbx_IdEE	GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=2,Ns=4,Nc=3,order=0,N=8,TwistFlavor=1,vol=5308416,parity=2,precision=8,Ns=4,Nc=3,order=0,N=2,TwistFlavor=1,n_rhs=1	# 594.40 Gflop/s, 3343.52 GB/s, tuning took 0.108334 seconds at Sat Mar 14 22:32:46 2026
    0.125364	     7.75625	     73.7693	           4	   0.0313409	 bytes=764411904	cudaMemcpyDefault	copy,gauge_field.cpp,1134	# 0.00 Gflop/s, 24.39 GB/s, tuning took 0.220107 seconds at Sat Mar 14 22:31:34 2026
   0.0939488	     5.81261	     79.5819	           4	   0.0234872	     48x48x48x48	N4quda12ExtractGhostIdLi3ENS_5gauge8QDPOrderIdLi18EEEEE	CPU,vol=5308416,stride=2654208,precision=8,geometry=4,Nc=3,order=1,extract	# 0.00 Gflop/s, 5.42 GB/s, tuning took 0.283078 seconds at Sat Mar 14 22:33:05 2026
   0.0824792	     5.10299	     84.6849	           2	   0.0412396	bytes=1019215872	cudaMemcpyDefault	copy,color_spinor_field.cpp,439	# 0.00 Gflop/s, 24.71 GB/s, tuning took 0.288646 seconds at Sat Mar 14 22:32:17 2026
   0.0530144	        3.28	     87.9649	         200	 0.000265072	     48x48x48x48	N4quda4blas11axpyCGNorm2IdfEE	GPU-offline,large_kernel_arg,vol=5308416,parity=2,precision=2,Ns=4,Nc=3,order=0,N=8,TwistFlavor=1,n_rhs=1	# 2883.79 Gflop/s, 3124.11 GB/s, tuning took 0.691639 seconds at Sat Mar 14 22:32:46 2026
   0.0369587	     2.28664	     90.2516	           1	   0.0369587	     48x48x48x48	N4quda7RNGInitE	CPU,vol=5308416,parity=2,precision=8,Ns=4,Nc=3,order=1,TwistFlavor=1	# 0.00 Gflop/s, 0.00 GB/s, tuning took 0.264612 seconds at Sat Mar 14 22:32:14 2026
